5,222.4,,0,,0,,137.6,,0
a6,0,0,5,0,255,255,0,0,0
a7,0,,0,,0,,0,,0
aa,7,12,9,8,0,16,192,0,0
ab,0,0,0,0,0,1,0,0,0
405,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0
766,0,0,100,100,100,135,16943,,16.943
c0,0,,0,,1,2,0,,16.943
500,28,,0,,4.6,,0,2,16.943
405,0,0,0,0,0,0,0,0,16.943
387,-0.5,,48,15,0,0,0,0,16.943
405,0,0,0,0,0,0,0,0,16.943
5,222.4,,0,,0,,137.6,,16.943
a6,4,0,1,0,2,0,0,0,16.943
a7,0,,0,,0,,0,,16.943
aa,7,12,9,8,0,16,192,0,16.943
ab,0,0,0,0,0,1,0,0,16.943
405,0,0,0,0,0,0,0,0,16.943
766,0,0,100,100,100,135,16980,,16.98
c0,0,,0,,1,2,0,,16.98
500,28,,0,,4.5,,0,2,16.98
405,0,0,0,0,0,0,0,0,16.98
405,0,0,0,0,0,0,0,0,16.98
405,0,0,0,0,0,0,0,0,16.98
387,-0.5,,48,15,0,0,0,0,16.98
766,0,0,100,100,100,135,17010,,17.01
c0,0,,0,,1,2,0,,17.01
500,28,,0,,4.4,,0,2,17.01
5,222.4,,0,,0,,137.6,,17.01
a6,245,255,250,255,248,255,0,0,17.01
a7,0,,0,,0,,0,,17.01
aa,7,12,9,8,0,16,192,0,17.01
ab,0,0,0,0,0,1,0,0,17.01
405,0,0,0,0,0,0,0,0,17.01
405,0,0,0,0,0,0,0,0,17.01
405,0,0,0,0,0,0,0,0,17.01
766,0,0,100,100,100,135,17041,,17.041
c0,0,,0,,1,2,0,,17.041
500,28,,0,,4.4,,0,2,17.041
405,0,0,0,0,0,0,0,0,17.041
387,-0.4,,48,15,0,0,0,0,17.041
405,0,0,0,0,0,0,0,0,17.041
5,222.4,,0,,0,,137.6,,17.041
a6,4,0,1,0,3,0,0,0,17.041
a7,0,,0,,0,,0,,17.041
aa,7,12,9,0,0,16,192,0,17.041
ab,0,0,0,0,0,1,0,0,17.041
405,0,0,0,0,0,0,0,0,17.041
766,0,0,100,100,100,135,17072,,17.072
c0,0,,0,,1,2,0,,17.072
500,28,,0,,4.5,,0,2,17.072
405,0,0,0,0,0,0,0,0,17.072
405,0,0,0,0,0,0,0,0,17.072
405,0,0,0,0,0,0,0,0,17.072
387,-0.5,,48,15,0,0,0,0,17.072
766,0,0,100,100,100,135,17108,,17.108
c0,0,,0,,1,2,0,,17.108
500,28,,0,,4.5,,0,2,17.108
405,0,0,0,0,0,0,0,0,17.108
5,222.4,,0,,0,,137.6,,17.108
a6,3,0,254,255,255,255,0,0,17.108
a7,0,,0,,0,,0,,17.108
aa,7,12,9,0,0,16,192,0,17.108
ab,0,0,0,0,0,1,0,0,17.108
405,0,0,0,0,0,0,0,0,17.108
