Time (s),Voltage (V),Current (A),Temperature (C),Torque (Nm),Speed (RPM),SOC (%)
0,494.19,2.9,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0.4,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.6,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,-0.4,31,0,0,97
0,494.19,-0.2,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0.4,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0,31,0,0,97
0,494.19,0.2,31,0,0,97
0,494.19,0,31,0,0,97
0,493.72,2.9,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.4,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.6,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,2.9,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.4,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.6,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,-0.4,31,0,0,97
0,493.72,-0.2,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0.4,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0,31,0,0,97
0,493.72,0.2,31,0,0,97
0,493.72,0,31,0,0,97
0,493.73,2.9,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0.4,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.6,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,-0.4,31,0,0,97
0,493.73,-0.2,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0.4,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0,31,0,0,97
0,493.73,0.2,31,0,0,97
0,493.73,0,31,0,0,97
2.8,493.72,0.2,31,0,0,97
2.8,493.72,-0.4,31,0,0,97
3.4,493.72,-0.2,31,0,0,97
3.4,493.72,0.2,31,0,0,97
3.9,493.72,-0.2,31,0,0,97
3.9,493.72,-0.2,31,0,0,97
4.5,493.72,0,30,0,0,97
4.5,493.72,-0.2,30,0,0,97
5,493.72,-0.2,30,0,0,97
5,493.72,0.2,30,0,0,97
5.6,493.72,0,30,0,0,97
5.6,493.72,-0.2,30,0,0,97
6.1,493.72,0,30,0,0,97
6.1,493.72,0,30,0,0,97
6.7,493.73,-0.2,30,0,0,97
6.7,493.73,0,30,0,0,97
7.3,493.72,0,30,0,0,97
7.3,493.72,0,30,0,0,97
7.8,493.72,0,30,0,0,97
7.8,493.72,-0.4,30,0,0,97
8.3,493.72,-0.4,30,0,0,97
8.3,493.72,-0.2,30,0,0,97
8.9,493.73,0,30,0,0,97
8.9,493.73,-0.6,30,0,0,97
9.5,493.72,0.2,30,0,0,97
9.5,493.72,-0.2,30,0,0,97
10,493.72,-0.2,30,0,0,97
10,493.72,0.2,30,0,0,97
10.6,493.72,-0.2,30,0,0,97
10.6,493.72,0,30,0,0,97
11.1,493.73,0,30,0,0,97
11.1,493.73,0,30,0,0,97
11.7,493.72,-0.2,30,0,0,98
11.7,493.72,0,30,0,0,98
12.2,493.72,0,30,0,0,97
12.2,493.72,0,30,0,0,97
12.8,493.72,-0.2,30,0,0,97
12.8,493.72,0,30,0,0,97
13.3,493.73,-0.2,30,0,0,97
